Baseline Fluorescence (mV),Baseline Fluorescence std (mV),Experiment_ID,Tube_Number
697.1666666666666,2.4776781245530843,Exp0014E11,8.0
753.3333333333334,4.027681991198191,Exp0014E13,1.0
748.8333333333334,3.131382371342656,Exp0014E13,2.0
727.9166666666666,4.132358756072479,Exp0014E13,3.0
739.0,5.131601439446884,Exp0014E13,4.0
729.0833333333334,6.170606849321134,Exp0014E13,5.0
708.5,4.272001872658765,Exp0014E13,6.0
704.0,3.6742346141747673,Exp0014E13,7.0
666.5833333333334,3.8396686778360913,Exp0014E13,8.0
342.4166666666667,0.7592027982620247,Exp006F7,1.0
322.25,0.4330127018922193,Exp006F7,2.0
325.5833333333333,0.4930066485916346,Exp006F7,3.0
325.0,0.5773502691896257,Exp006F7,4.0
326.8333333333333,0.5527707983925666,Exp006F7,5.0
323.0,0.5773502691896257,Exp006F7,6.0
321.8333333333333,0.372677996249965,Exp006F7,7.0
325.75,0.5951190357119042,Exp006F7,8.0
336.0833333333333,0.8620067027323833,Exp006E10,1.0
310.4166666666667,0.6400954789890506,Exp006E10,2.0
326.1666666666667,0.5527707983925666,Exp006E10,3.0
325.4166666666667,1.3202482931462383,Exp006E10,4.0
330.9166666666667,2.289771944005681,Exp006E10,5.0
325.5,1.2583057392117916,Exp006E10,6.0
332.0833333333333,1.8008485654145259,Exp006E10,7.0
339.8333333333333,1.2801909579781012,Exp006E10,8.0
365.0833333333333,0.6400954789890506,Exp006G14,1.0
347.9166666666667,0.4930066485916346,Exp006G14,2.0
354.5,0.8660254037844386,Exp006G14,3.0
352.9166666666667,0.4930066485916346,Exp006G14,4.0
